,LAeq,6.3 Hz,8 Hz,10 Hz,12.5 Hz,16 Hz,20 Hz,25 Hz,31.5 Hz,40 Hz,50 Hz,63 Hz,80 Hz,100 Hz,125 Hz,160 Hz,200 Hz,250 Hz,315 Hz,400 Hz,500 Hz,630 Hz,800 Hz,1 kHz,1.25 kHz,1.6 kHz,2 kHz,2.5 kHz,3.15 kHz,4 kHz,5 kHz,6.3 kHz,8 kHz,10 kHz,12.5 kHz,16 kHz,20 kHz
2023-03-25 11:15:00,48.385487,47.03507,47.02922,47.82677,48.354828,48.499516,48.397533,47.002224,48.05649,48.169964,45.432533,42.70295,39.44031,39.769966,41.34535,41.84354,41.09778,38.981144,39.096596,37.99774,38.05934,38.47163,39.371494,40.06778,38.332222,36.259445,33.64177,32.177986,30.994497,32.751648,28.721788,22.176094,16.322031,12.816653,10.485312,9.537743,9.681945
2023-03-25 11:30:00,48.162777,49.279984,49.22231,49.428905,49.760105,49.807465,49.20625,47.505974,48.231842,47.756424,44.762848,40.580105,37.6075,39.092396,40.798855,41.97375,41.112606,38.59573,39.762672,38.62854,38.373196,38.3017,39.24309,39.7208,37.548283,34.952152,31.91361,31.10896,32.69811,33.607067,31.363213,23.018803,16.957592,12.893021,10.484739,9.6344185,9.711432
2023-03-25 11:45:00,47.21038,50.09769,50.22399,50.413193,50.648647,50.540207,50.859062,47.994305,47.532047,47.859272,45.31399,41.22382,38.169147,40.265522,41.82257,40.902985,40.467293,38.869236,39.49597,38.150833,37.704548,38.10889,39.019722,39.561043,37.356388,34.82264,31.644375,29.225086,28.33427,27.925694,26.235079,20.817781,16.51507,13.177795,10.773776,9.712326,9.727066
2023-03-25 12:00:00,47.70469,51.14255,51.121807,51.260105,51.21528,51.04875,50.72955,48.339687,47.869373,48.376736,46.69604,43.173958,41.356804,42.84691,43.383297,42.8687,42.680904,40.25807,40.214756,38.982464,38.61804,38.534966,39.393715,39.84288,37.737118,35.40222,31.953213,28.739775,27.450277,28.189678,25.402613,20.353777,16.08388,14.0203,11.385742,9.959357,9.75967
2023-03-25 12:15:00,46.26764,47.379166,47.06946,47.388733,47.791683,48.124096,47.808647,45.39903,44.75545,45.521633,43.531006,40.12382,37.626442,39.702847,40.3025,40.302776,39.569828,37.02795,37.512863,35.866875,36.1541,36.672134,37.7154,38.347588,36.075485,33.70814,30.534218,28.786528,29.866926,29.542805,27.065487,20.69704,15.020421,12.18472,10.3149,9.503794,9.697187
2023-03-25 12:30:00,46.214584,48.04936,48.220554,48.486355,48.947014,48.75722,48.4142,45.7392,45.19302,45.75854,43.71618,39.68663,36.913177,38.86243,39.412952,39.226738,38.81646,37.106754,37.698975,36.852863,37.398144,37.44802,38.03677,38.564167,36.33623,33.766476,30.624115,28.376024,27.865313,26.7421,24.819298,19.603373,15.477663,11.9713545,10.270213,9.678454,9.727491
2023-03-25 12:45:00,46.60184,45.10007,45.21257,45.519184,46.37781,46.208366,46.24205,43.71257,43.406425,44.510624,43.053368,38.734844,35.996197,38.01335,39.653057,38.753887,38.48455,36.57394,37.05811,36.59137,36.93356,36.276703,36.810677,37.48377,35.29361,33.00415,31.544392,32.382587,33.235798,31.148932,27.359756,20.906536,15.444692,10.622239,8.798025,8.996589,9.537422
2023-03-25 13:00:00,44.64191,41.974724,42.018456,42.7834,44.222813,44.626354,45.348957,42.00618,41.87142,42.78962,40.56731,37.149513,34.774166,36.39665,38.8425,38.337032,38.138836,35.923317,36.69557,35.26821,35.140713,35.038906,36.161457,36.745747,34.44361,31.971544,30.44802,29.451216,26.461267,24.331232,21.845087,16.779413,12.368208,9.287293,8.610251,9.1301565,9.5972395
2023-03-25 13:15:00,47.696877,38.66415,38.946026,40.34458,42.31552,43.514046,44.387535,42.407154,43.018387,44.272533,42.000523,37.541092,36.151962,38.56729,40.003075,39.666336,39.926735,37.61554,38.900173,37.86243,37.47993,37.248074,37.89276,38.1292,36.019825,34.15269,31.879845,31.09604,31.819757,32.823524,29.036432,23.257895,16.482023,11.084828,9.506215,9.30447,9.757526
2023-03-25 13:30:00,47.23528,40.714516,41.494236,43.05179,45.269688,45.849686,46.880207,44.81719,45.021667,45.762745,43.770973,39.16698,37.21479,39.7938,40.138786,39.464878,39.418697,38.051495,38.497272,38.04651,38.247272,37.257084,38.007484,38.102203,36.126945,34.19255,32.710262,32.67875,31.993977,30.44066,25.005407,19.153694,14.288902,9.259752,8.1581335,8.89152,9.592448
